SMILES,cSMILES,TTR binding activity,pred_0,pred_1,pred_2,pred_3,pred_4
CC1(C)[C@@H]2C[C@H]1C(=C)CC2,C=C1CC[C@H]2C[C@@H]1C2(C)C,12.3,8.740339208395287,11.472121464451686,8.92820217084184,14.589751164133805,10.42738990200614
COC(=O)C(C)OC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1,COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,94.1,55.056419854640076,91.84974442909137,77.52659797469734,84.89046836802731,65.7006572592068
CCCCCCCCCCCCCC(=O)OCC(O)CO,CCCCCCCCCCCCCC(=O)OCC(O)CO,38.1,42.13785974500254,42.19485895813208,42.45493406059482,45.3163310239864,41.640826629292626
CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,11.8,5.520659295030451,8.21871345827609,10.421889518941018,6.9651635944622985,11.821069458135508
CCCCCCCCCC=CCC1CC(=O)OC1=O,CCCCCCCCCC=CCC1CC(=O)OC1=O,98.4,87.12240211481904,54.974936137197695,94.30688342453993,94.53944918546402,74.16330262547527
CCC/C=C/C=O,CCC/C=C/C=O,52.2,42.650462496398674,46.83769195434593,49.98867796185117,39.63984581480385,18.809858660372285
CC1=NN(CO)C(C)=C1,Cc1cc(C)n(CO)n1,32.8,30.05419209527604,22.507135603089115,32.8273880682834,27.923977039629186,23.625317894439124
CC/C=C\CCOC(C)=O,CC/C=C\CCOC(C)=O,14.0,13.761071557593048,11.356463988396928,13.112910756460199,9.567809146630914,10.268287748073103
CCCCC/C=C\CCC=O,CCCCC/C=C\CCC=O,69.6,64.70311425758186,68.5616260150936,17.37700012432475,34.17632487448493,52.33503501460782
C/C=C/C=C/CCCCCCCO,C/C=C/C=C/CCCCCCCO,61.9,54.08787901538407,34.798153694359044,58.74924451255886,28.523648864954048,61.04407305960101
C[C@H](CCO)CCC=C(C)C,CC(C)=CCC[C@H](C)CCO,38.8,57.88049902130076,26.065921687410924,53.689768041275485,54.58594500944891,38.41793863172049
CC/C=C\CCO,CC/C=C\CCO,19.0,14.934686531408193,11.362897657955157,14.840485846077893,19.33478784976297,19.05354885604558
CC1=C(C)C(NC2=NC(SCC(O)=O)=NC(Cl)=C2)=CC=C1,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,94.3,90.64826702330689,87.97233537196944,90.05987973539449,90.80664985070317,86.76589921376683
