cSMILES,TTR binding activity,F_1_M_0,F_1_M_1,F_1_M_2,F_1_M_3,F_1_M_4,F_2_M_0,F_2_M_1,F_2_M_2,F_2_M_3,F_2_M_4,F_3_M_0,F_3_M_1,F_3_M_2,F_3_M_3,F_3_M_4,F_4_M_0,F_4_M_1,F_4_M_2,F_4_M_3,F_4_M_4,emb
CC1=CC[C@H]2C[C@@H]1C2(C)C,11.6954333,14.92046914396849,11.85719948620248,18.953105504846388,17.7173985527887,10.76344859553728,12.206940361037075,9.774229907558237,13.47295958787485,11.649248512173353,8.425543020680067,13.28619333369474,10.353208198281171,8.462865571956797,8.893690231277208,13.474301450040834,11.579297223751126,13.847755265585883,9.364132780507704,14.932872449260024,11.292718602568511,12.694893022500592
CC[C@H](C)[C@@H](C(=O)O)n1sc2ccccc2c1=O,13.58586716,61.26861269746669,80.29080177219014,58.84245246144607,80.34525416144561,68.39790813076414,59.412108825753045,63.16215252686799,48.1310222520957,59.1414967751093,66.26120733982854,62.06515178242115,42.85848770630375,38.0472018744259,51.84244160064573,68.31260705849277,50.22153425500429,44.90719067141657,19.14668023092501,41.69893516037449,60.50181866953127,61.905458013459736
CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)O,88.58071115,76.05632270004303,71.68466093320671,65.09115285791363,65.74969741877621,71.53253896204596,87.35147330033257,52.96441869172346,82.54891114916919,74.03941573936311,71.5135640518269,67.65116890425826,71.42141527795508,58.9790630890458,73.65179874024236,82.39354531858683,85.87393121535227,91.59647207559505,61.70800304974488,79.61649796425004,88.28246958649487,75.6827787388787
Cl/C=C/Cl,3.066264674,15.049534480469092,13.266106753648836,18.046484202047143,20.168454289437268,25.69180604563529,7.41415282430232,10.257719514058074,15.48655396374977,12.780204077385507,22.271900005901024,21.969009907924256,13.06779690106172,17.076582950603374,15.933061974448483,28.70436602005172,6.640817095606437,10.809033267553064,9.542228530535525,18.827549807713226,11.368339509934394,14.742928138805032
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,99.77857893,95.46038989367244,99.2976805037572,98.36302719879568,94.11589892445096,100.67691561038104,94.55961199080156,72.57335124880157,86.9932987085686,90.47031754188508,89.68742221204118,94.69604371754662,102.38466286364536,100.98722125473576,99.17422412177596,101.15180078254306,97.54197369286013,97.8324282515578,99.16978502858102,97.37699800216564,102.05607661996363,96.44458222584989
Fc1ccc(Br)cc1,12.76293436,13.483259808074436,29.363232043254868,23.917556181197604,21.04983647068443,21.799314325942795,10.72530616695242,42.57536644413931,18.088799986724062,17.46995458378616,18.8530614434564,27.375454631911367,12.496158101239228,22.74279921019821,17.136705718874982,12.741040914409831,5.441159126127488,8.851700005187439,12.313159467965203,12.080345110421929,15.524220787282143,17.616405163010523
CCCCCCCCCCCCCCCO,-12.10962915,36.04298622592909,50.91631547471186,52.82758335927446,44.15560014033949,47.09829014190228,36.95456592548116,28.561959605033145,34.33670529678108,26.99772050579373,24.37559524982218,23.465048603191818,22.344171509073508,25.44869761751016,22.35274230886833,32.35633031364335,21.79545949013781,11.153343186350984,29.188874284548103,35.181542721168,16.506297028858736,32.344711236895634
OCCN1CCNCC1,6.568734364,7.827553615411922,6.705272307569885,9.439726382362878,12.784108695321097,13.93515535605167,12.814126339015615,4.329884360775196,12.050987978340055,8.515102898332863,7.606823306982733,15.79016049667225,6.906244762662446,10.018778177533136,11.672743013046611,14.46191674949826,2.3133686479288897,5.62543642171655,8.237967965343557,10.308842121407416,13.64269713209427,9.40874674941319
CN(C)N,17.1907829,14.104515460601316,16.97238447605277,15.432716821924156,17.20782079843524,16.99546306732149,12.623301715557613,7.716709275697759,20.94065681326885,8.423342271759559,4.665703065520752,18.920412159980376,8.953745029532538,8.673278816548653,5.183270627394009,9.259853479303429,18.270824631724132,26.57021433496205,9.97104126163732,21.470446838307744,21.43541374220065,13.515172289495858
C[N+]1(C)CCCCC1,27.50852547,3.605519549002707,0.6547006620318072,8.032659078714751,10.26516312497176,10.737926233734637,8.895168125376884,5.275182842767464,4.778575301207553,6.344621308361056,1.805142785526336,13.79401705855479,6.5766230724209365,9.082589869425789,9.661409372581108,17.94857467462464,-1.72493746388065,-8.171300436968025,0.3782368944632281,4.787561539821965,17.12596118347806,7.217823162376696
